Causes of death,Year,under 1 year_Male,1 to under 15 years_Male,15 to under 20 years_Male,20 to under 25 years_Male,25 to under 30 years_Male,30 to under 35 years_Male,35 to under 40 years_Male,40 to under 45 years_Male,45 to under 50 years_Male,50 to under 55 years_Male,55 to under 60 years_Male,60 to under 65 years_Male,65 to under 70 years_Male,70 to under 75 years_Male,75 to under 80 years_Male,80 to under 85 years_Male,85 years and over_Male,under 1 year_Female,1 to under 15 years_Female,15 to under 20 years_Female,20 to under 25 years_Female,25 to under 30 years_Female,30 to under 35 years_Female,35 to under 40 years_Female,40 to under 45 years_Female,45 to under 50 years_Female,50 to under 55 years_Female,55 to under 60 years_Female,60 to under 65 years_Female,65 to under 70 years_Female,70 to under 75 years_Female,75 to under 80 years_Female,80 to under 85 years_Female,85 years and over_Female
Certain infectious and parasitic diseases,2010,19,27,13,5,23,33,77,154,237,301,348,388,627,997,1236,1354,1358,15,24,7,4,12,17,37,52,97,143,155,228,394,672,1122,1802,3418
"Tuberculosis, including its sequelae",2010,-,-,-,-,-,2,5,7,14,18,9,10,17,24,31,43,45,-,-,1,-,2,-,2,1,2,3,2,2,5,11,29,25,40
Meningococcal infection,2010,-,6,4,-,1,-,-,3,-,3,-,1,-,1,3,2,1,4,5,-,1,1,-,-,-,2,-,-,-,2,2,-,-,1
Viral hepatitis,2010,-,-,-,-,3,3,13,29,43,75,64,30,49,60,40,55,37,-,-,-,-,-,-,3,9,17,31,21,23,32,58,68,118,99
HIV disease,2010,-,1,-,-,10,15,34,54,72,60,42,28,29,23,7,3,2,-,-,-,1,4,5,15,14,12,7,4,2,5,4,2,-,-
Neoplasms,2010,16,114,82,115,164,258,458,1065,2703,5265,8281,10763,16806,23264,20364,17973,13366,11,95,56,72,155,260,562,1357,2703,4235,5883,7426,10815,15352,15246,17184,22672
Malignant neoplasms,2010,11,106,80,111,158,248,447,1050,2667,5213,8181,10635,16549,22796,19836,17361,12753,9,86,52,71,153,256,558,1334,2680,4196,5838,7343,10658,15047,14811,16457,21138
"Malignant neoplasms of lip, oral cavity, pharynx",2010,-,-,-,2,2,7,16,63,232,477,582,600,625,573,309,205,123,-,-,-,2,5,2,7,19,48,103,129,129,165,145,137,122,191
Malignant neoplasms of oesophagus,2010,-,-,-,-,2,8,12,37,162,290,454,520,623,729,496,297,207,-,-,-,-,-,1,2,5,28,48,75,142,154,187,148,158,194
Malignant neoplasms of stomach,2010,-,-,-,1,8,11,33,79,167,268,388,508,689,1031,1010,911,673,-,-,-,2,7,11,26,63,96,166,190,237,342,563,632,804,1261
Malignant neoplasms of colon,2010,-,-,2,2,6,12,27,53,148,254,463,584,1062,1637,1571,1483,1175,-,1,-,1,5,13,26,69,126,187,283,390,655,1186,1263,1682,2795
